15,2,948920
22,3,315720
5,8,7165437
34,9,49719
35,12,40465
1,13,14167000
46,14,8276
43,16,13338
11,18,4380005
18,20,659618
23,22,245843
4,27,11031623
64,31,40
10,32,4598467
58,33,470
53,36,2318
12,38,1951246
50,39,3227
8,45,4671803
7,54,4810609
52,60,2695
38,64,29817
16,68,751638
41,73,15042
14,74,1284798
2,79,13835874
3,80,12242407
13,89,1387582
51,91,2744
9,98,4612733
21,104,450396
30,105,71555
6,109,5101144
25,117,176440
59,127,331
65,134,24
39,135,27637
47,142,6555
40,158,17458
37,165,30684
36,171,39078
67,175,4
44,179,10539
56,187,1367
19,193,554163
48,197,6417
28,204,87182
45,207,9342
33,208,51591
66,209,6
62,212,64
24,215,226938
29,219,86215
49,220,3261
26,223,145801
31,225,53572
17,226,676730
57,228,1291
61,229,92
27,230,104316
54,231,2077
32,232,53081
60,236,256
42,244,14254
20,248,478356
55,251,2047
63,257,41
