44,1,51860
16,2,4761876
20,3,2597181
31,6,372050
10,8,43689311
33,9,265451
21,12,1418206
2,13,170801356
27,14,543242
12,18,11655870
15,20,6108425
14,22,6109957
8,27,59296197
60,31,174
4,32,153734350
32,36,277533
11,38,14897109
50,41,13193
1,45,225326375
46,53,33112
9,54,51756125
29,60,461957
19,74,2747275
6,79,76174477
3,80,166251577
34,91,261912
5,98,120554236
22,105,911912
7,109,67391341
48,127,26048
39,128,105580
49,130,21173
51,134,9779
25,135,685072
37,158,144210
26,165,622079
45,187,41903
18,193,3253943
28,197,484775
43,198,70529
30,204,454226
42,207,73286
35,213,257080
41,218,80436
40,221,105510
38,228,128935
23,230,746404
24,232,688274
52,242,7853
55,246,1559
13,248,7923199
36,249,183078
17,253,4014149
56,256,600
59,259,266
61,260,64
54,262,1615
47,264,31372
57,265,364
58,267,308
53,271,2550
