88,34,6348553
71,54,7186940
537,58,156
161,190,3491552
224,266,1840252
137,644,4318935
459,645,28520
503,760,3371
366,813,217472
174,1031,3073498
402,1659,91767
446,1924,38001
330,2104,403449
413,2426,71922
409,2466,80336
344,3257,320976
184,5206,2883754
80,7269,6856270
365,7365,226565
431,9312,47998
284,10553,838426
479,10764,17693
74,14895,7068520
501,22529,4240
10,31459,18814676
62,35585,7624219
194,38188,2617921
114,47967,5373141
41,49616,9886729
525,75864,748
142,80863,4139098
208,83966,2195857
123,95264,4827738
393,123364,122747
528,128703,585
331,130784,401606
26,137431,12877873
290,144527,770374
37,145122,10389775
337,149078,373031
427,149302,53856
109,153216,5542298
91,156480,6166366
470,184307,19376
207,186634,2223042
75,189413,6996934
200,193545,2405018
401,201700,92968
236,202091,1725569
111,202835,5444600
186,222751,2769530
433,238040,47319
39,240304,10174542
324,247494,452179
179,247981,2954456
498,252330,4978
437,262910,42125
505,265281,3031
231,278359,1777397
398,294778,107297
103,302869,5712542
417,311533,64123
464,312708,22124
293,316717,737392
66,325679,7398844
89,327309,6215507
141,347247,4194057
199,371560,2488984
382,389855,157603
301,414455,651776
482,460649,12262
11,492721,17998827
226,506610,1828112
483,531777,11869
105,537774,5680275
475,550454,18812
53,553065,8538309
383,572504,145061
272,577826,1014405
386,629297,135703
380,663520,162392
264,665308,1158011
440,666419,40191
534,685863,217
253,689953,1323202
384,693730,140652
267,701464,1080496
497,708726,5080
499,719468,4600
275,724297,954646
239,740471,1680127
312,748151,559783
530,764820,466
151,781658,3734875
494,783798,7448
544,813415,17
92,828973,6147241
64,837378,7469341
326,843253,450258
8,848882,21724171
215,862456,1963800
271,866900,1023884
404,875478,90019
251,904592,1356281
490,911726,9838
311,912352,569265
342,912799,331262
217,929857,1960682
25,933357,13181468
144,944051,4065345
522,949693,1063
445,951401,38555
477,965211,18026
421,970286,60853
106,975475,5659035
425,978034,56503
96,1009265,6056339
469,1013969,19855
78,1022419,6868490
418,1028035,63280
107,1029569,5622355
481,1040712,12934
9,1041417,20057232
13,1050151,16833976
487,1051979,11087
73,1075536,7146904
68,1091882,7347447
147,1097072,3865853
65,1107872,7406283
547,1124356,4
95,1132628,6075616
416,1146818,67794
159,1152489,3494072
7,1169034,22856166
176,1178523,2989012
396,1184145,110170
368,1186212,209652
435,1216380,44036
97,1229744,6001980
145,1233834,4058098
168,1280418,3328079
124,1299883,4810072
188,1310137,2757314
294,1314714,702341
192,1320170,2671073
300,1321682,657516
389,1325175,127098
347,1344475,306199
323,1344786,452608
322,1351573,459809
48,1390210,9175625
258,1393257,1228608
81,1403863,6831722
335,1405084,379707
135,1406307,4439706
526,1415537,698
488,1419343,10469
14,1420391,16106455
394,1423677,112418
410,1433093,76673
450,1434418,34183
247,1451906,1492636
520,1456897,1154
329,1466469,405943
406,1470110,84837
524,1472448,929
512,1476089,2572
38,1483240,10200402
163,1491798,3439939
30,1498879,11724984
177,1499631,2966620
243,1514905,1610506
203,1516949,2354393
436,1543507,42981
340,1546340,358437
465,1550162,21355
281,1550750,875697
204,1550947,2301427
356,1552275,274626
462,1563960,26752
136,1577430,4369872
152,1577451,3711570
412,1579889,74338
219,1589949,1932377
70,1592344,7266329
197,1597818,2558045
54,1606106,8466061
24,1611699,13219978
535,1613388,204
57,1617877,8127831
318,1618145,509363
265,1619606,1120915
333,1624952,391402
502,1627158,3735
249,1629978,1440054
297,1630663,674131
175,1638669,3046145
546,1638768,12
165,1651308,3409559
471,1652831,19242
209,1653036,2114696
223,1660298,1850541
511,1667957,2659
254,1669627,1320689
94,1675808,6129911
288,1679592,790576
225,1679961,1830954
132,1682534,4595056
507,1691091,2975
98,1695175,5964267
149,1696964,3850378
287,1700496,803937
316,1701153,526379
533,1706374,322
408,1707975,80455
160,1718539,3494026
455,1721928,32385
29,1722419,12328368
453,1723176,32709
206,1724130,2226297
117,1731373,5182421
373,1734443,184890
167,1736828,3353273
51,1745999,8754413
23,1747712,13464763
241,1748648,1646893
279,1749417,884867
90,1749444,6199586
268,1762371,1064889
143,1762817,4075195
414,1766388,69856
50,1774259,9104647
56,1783692,8160292
510,1784555,2700
4,1790251,35015252
67,1810477,7384666
407,1819308,82784
128,1820940,4662692
44,1827900,9392004
6,1833730,23262755
99,1843102,5948984
52,1849850,8694180
63,1854568,7602389
309,1855507,583090
120,1856794,5090319
28,1863997,12404084
325,1878804,450696
371,1880635,189604
118,1880702,5153319
27,1888291,12672802
307,1891510,583712
308,1894149,583365
332,1895629,400221
261,1897377,1187256
521,1897998,1141
411,1908624,75935
129,1909023,4642186
480,1910557,14542
36,1911553,10495726
61,1915106,7652286
514,1918747,2339
190,1921203,2704982
87,1922514,6410193
20,1936831,14670690
348,1939848,298108
150,1940858,3801393
306,1942526,586520
327,1943768,428616
388,1946545,128615
69,1946933,7273550
55,1951509,8173873
328,1951772,425180
280,1958617,878442
245,1959710,1555585
374,1960055,177874
319,1963398,507207
148,1964159,3858177
153,1964787,3620385
336,1968000,377878
146,1969944,3931740
468,1970276,20279
515,1970708,2217
121,1979860,4913860
154,1980085,3585765
193,1980091,2649884
19,1981490,14721460
1,1982595,49757473
441,1986226,39127
257,1986927,1246777
134,1987940,4449376
246,1992450,1494565
234,1993684,1754245
472,1994337,18981
379,1994940,162986
122,1995172,4873816
166,1995173,3372345
45,1996908,9378163
60,1998599,7758208
302,2000812,638223
355,2002238,281608
77,2004903,6879994
539,2008382,130
313,2008454,552908
341,2010115,333451
277,2011248,940064
376,2011559,175030
76,2013143,6994818
424,2014236,57711
85,2015768,6539755
196,2020623,2606050
31,2022552,11389501
509,2025035,2764
119,2025956,5128404
133,2027527,4592201
542,2028057,39
104,2028170,5711552
343,2029109,326031
350,2030558,294669
83,2030750,6703112
426,2034910,55216
250,2034967,1440048
34,2036967,10987933
364,2041768,227607
131,2042518,4611638
227,2043077,1826528
172,2045479,3093492
79,2045489,6865393
182,2045759,2922646
12,2048251,17019204
164,2053673,3434486
484,2055242,11729
420,2055445,61227
220,2055885,1920087
378,2059008,166405
138,2059063,4265820
47,2060287,9209730
17,2061432,15332066
180,2062192,2942399
391,2062753,126578
550,2071342,1
278,2072050,921637
419,2072629,61537
359,2074914,234366
443,2075590,38896
21,2077224,14354102
274,2078371,978348
221,2081698,1918935
248,2083507,1445685
415,2083572,67886
390,2083626,127066
127,2083788,4711062
263,2084142,1173311
108,2084332,5556351
461,2085977,27809
485,2087047,11647
260,2087974,1193566
270,2088720,1035348
392,2090629,124953
372,2090921,189038
