31,1,485947
16,2,3236964
17,3,2848904
33,6,411068
10,8,19262503
39,9,212656
19,12,2646298
1,13,315908668
28,14,545922
13,20,8824694
9,22,26926723
6,27,75348859
35,31,269578
3,32,199739487
37,36,255522
12,38,9500324
4,45,135384734
40,53,190554
7,54,30967459
27,60,571432
22,74,851399
8,79,30672398
5,80,96505365
34,91,317234
2,98,203242946
14,105,7061493
43,128,112115
32,134,471736
18,135,2821176
42,158,126752
30,165,521393
45,187,97804
21,197,894345
41,198,128527
49,207,66882
20,213,1322333
29,218,538338
24,221,727324
52,242,9380
55,246,1559
11,248,12474213
15,253,5113016
56,256,600
54,258,1562
23,259,754754
26,265,600013
46,267,91741
25,271,612646
36,272,257467
47,273,77804
51,274,11845
58,275,6
48,276,74817
44,277,111516
53,279,5911
50,281,22063
38,282,247961
57,284,21
