201,34,448440
93,54,1540982
562,58,156
291,190,172385
516,266,4855
230,644,303023
459,645,26264
523,760,3371
303,813,159963
259,1031,247330
360,1659,91767
284,1871,195950
565,1924,140
287,2104,185118
434,2426,37438
488,2466,12814
260,3257,241067
446,5206,30952
390,5802,62696
92,7269,1553729
357,7365,92868
416,9312,47521
177,10553,615458
490,10764,11856
96,14895,1509227
544,22529,1010
423,28228,41302
14,31459,7509825
344,35585,102632
217,38188,377137
128,47967,1006524
22,49616,6430307
549,75864,748
84,80863,1674650
176,83966,617421
91,87568,1566347
78,95264,1899720
497,119743,9430
330,123364,122747
554,128703,585
218,130784,375477
7,137431,9192991
153,144527,759754
21,145122,6478607
349,149078,100334
413,149302,48614
247,153216,280450
148,156480,864996
485,184307,13355
274,186634,217071
52,189413,3125232
367,193545,88616
366,201700,89486
250,202091,273606
196,202835,460276
82,222751,1708543
519,238040,4199
60,240304,2737432
200,247494,452179
168,247981,661395
517,252330,4658
425,262910,40404
526,265281,3008
288,267903,180137
102,278359,1369249
407,294778,56203
199,302869,455468
392,311533,61566
467,312708,19727
207,316717,420824
156,325679,745000
33,327309,5029296
308,347247,155050
136,371560,951588
311,389855,151249
170,414455,649268
356,443007,93426
502,460649,7956
25,492721,6075099
195,506610,470223
498,531777,9248
332,537774,119732
477,550454,16085
123,553065,1081237
321,572504,132894
169,577826,658502
318,629297,135035
307,663520,155841
479,665308,15408
429,666419,38562
558,685863,217
436,689953,36973
435,693730,37187
299,701464,162624
515,708726,5080
530,719468,2622
412,724297,49560
266,740471,227727
188,748151,538920
556,764820,466
164,769012,691852
399,781658,59821
508,783798,7039
202,804111,442740
41,828973,3576443
256,837378,264378
375,843253,81477
20,848882,6564831
437,862456,36235
142,866900,926688
365,875478,90019
272,904592,223332
499,911726,8895
208,912352,420611
458,912799,26538
301,929857,161452
89,933357,1571575
139,944051,936641
543,949693,1063
439,951401,35496
524,965211,3308
396,970286,60725
69,975475,2158977
406,978034,56503
501,992825,7990
95,1009265,1515244
486,1013969,13336
57,1022419,2783032
395,1028035,61070
98,1029569,1479522
489,1040712,12599
28,1041417,5390906
6,1050151,10686983
86,1075536,1641644
214,1091882,399721
97,1097072,1498667
81,1107872,1756487
573,1124356,4
210,1132628,410855
478,1146818,15469
405,1152489,57994
15,1169034,7397217
384,1178523,72581
421,1184145,43465
312,1186212,150903
420,1216380,44036
121,1227210,1094877
83,1229744,1702650
140,1233834,930988
42,1265225,3529530
380,1280418,75168
216,1299883,387738
154,1310137,750180
222,1314714,337891
281,1320170,199443
331,1321682,121793
400,1325175,59819
347,1344475,102055
341,1344786,103727
428,1351573,39210
51,1390210,3144980
361,1393257,91736
24,1403863,6108758
233,1405084,294837
418,1406307,46699
552,1415537,698
495,1419343,10469
8,1420391,8930327
336,1423677,110418
475,1434418,17545
414,1445467,48196
191,1451906,485800
541,1456897,1154
212,1466469,405911
371,1470110,84761
546,1472448,929
255,1474935,267661
531,1476089,2572
36,1483240,4310565
411,1491798,50615
23,1498879,6419055
158,1499631,738495
368,1514905,86206
119,1516949,1104484
460,1543507,25848
270,1546340,224317
469,1550162,19177
181,1550750,600209
355,1550947,93926
248,1552275,274626
457,1563960,26752
238,1577430,290658
68,1577451,2178310
383,1579889,74146
427,1589949,39729
67,1592344,2294980
563,1595726,152
80,1597818,1842434
268,1606106,226031
79,1611699,1891805
559,1613388,200
143,1617877,922973
193,1618145,482144
533,1619606,2269
364,1624952,90746
553,1627158,617
120,1629978,1103998
285,1630663,188851
134,1638669,954546
572,1638768,12
323,1639790,131875
114,1651308,1152052
472,1652831,18642
155,1653036,745223
359,1660298,92174
560,1667957,200
111,1669627,1223336
66,1675808,2322214
182,1679592,592166
192,1679961,483364
56,1682534,2865737
528,1691091,2975
37,1695175,4132432
133,1696964,961346
306,1700496,156225
215,1701153,393231
387,1707975,67871
109,1718539,1236604
443,1721928,31544
50,1722419,3169677
449,1723176,29797
220,1724130,361807
205,1731373,424176
326,1734443,127794
339,1736828,104904
46,1745999,3390698
18,1747712,7095240
381,1748648,74941
187,1749417,560969
105,1749444,1258292
345,1762371,102589
141,1762817,930492
512,1766388,5606
61,1774259,2672764
38,1783692,3993961
551,1784555,711
3,1790251,29349119
172,1810477,641318
379,1819308,75822
