3329,1777573844,2172478,0
2466,1777729098,2179844,0
3513,1777738621,1790251,0
2135,1777760932,2172478,0
3843,1777780757,2179730,0
6274,1777806129,371560,2179327
6361,1777807880,1995834,2179725
6387,1777809060,2084332,0
3705,1777817007,2179844,0
1201,1777851548,2036967,2174815
5496,1777852881,2179558,0
5161,1777856502,2174202,2140561
2745,1777858247,2179730,0
291,1777859904,2179730,0
5829,1777864562,1982595,0
3483,1777867395,2177746,0
8379,1777876574,2144474,0
1509,1777880292,1727458,0
4405,1777881433,2083507,1718655
4473,1777882141,1982595,0
1356,1777888799,1913726,0
3036,1777892131,2179370,0
3625,1777892169,2178647,2178825
1884,1777898564,2179558,0
5578,1777898816,1593279,2178148
2757,1777901876,2179877,0
984,1777905640,2179853,0
8066,1777908356,2144474,0
3691,1777910507,1595726,1982781
5439,1777911489,2179814,0
6903,1777925294,2134821,0
4039,1777926989,1611699,814228
1932,1777939265,1749417,0
3150,1777940941,2172478,0
7607,1777950938,1951772,0
1927,1777957083,2176612,0
6774,1777959823,87568,0
3105,1777962715,1790251,0
4038,1777965481,2179877,0
1599,1777968239,2134401,0
4738,1777973400,1922514,2087064
6924,1777974947,2180189,0
3189,1777975439,2134401,0
1639,1777978486,193545,149302
6036,1777980991,2179814,0
1335,1777985229,2180189,0
6916,1777986528,13667,2179967
4362,1777987575,1999316,0
3237,1777987716,1606106,0
3408,1777992402,2179517,0
5827,1777994673,1731373,2179521
3742,1778000410,1995834,2139680
3357,1778000858,2179853,0
2492,1778001062,2172478,0
6174,1778001661,1569593,0
5415,1778003149,2180190,0
453,1778003326,1999316,0
1641,1778010653,1592344,0
3882,1778011515,2178771,0
3531,1778014107,2179844,0
4440,1778015071,2055885,0
4147,1778016641,20451,1182358
1818,1778016828,828973,0
4603,1778022189,2174202,2021868
3253,1778025730,373602,2134406
3546,1778029642,2179347,0
5344,1778030426,2177746,2175695
90,1778034069,2179300,0
4429,1778034526,2179366,1738353
505,1778038187,2180005,1479932
6385,1778039731,1265225,2179727
2307,1778041342,2126048,0
3216,1778042285,2179370,0
3129,1778052471,1393257,0
7065,1778056873,2116739,0
4734,1778060493,1592344,0
2538,1778062973,2179374,0
3330,1778063555,2179558,0
6462,1778063768,9148,0
3606,1778063922,20451,0
7069,1778064231,1420391,503355
5791,1778065591,1996908,2179433
8884,1778067126,2180036,460649
2016,1778075769,2179844,0
3618,1778076334,1731373,0
6463,1778079149,2179868,2179544
6268,1778079295,2127978,2179323
7719,1778081094,2174904,0
3517,1778081634,2178617,2179904
4893,1778083210,2179300,0
2853,1778083522,2126048,0
4626,1778084018,1982595,0
3733,1778086799,371560,2139121
5949,1778087700,2097219,0
2431,1778087721,2022552,1550406
6304,1778089786,2179564,2179333
6279,1778090644,1265225,0
1483,1778091222,1673222,1143915
8170,1778092060,933357,2180092
1230,1778092723,2179374,0
1227,1778093094,1790251,0
1032,1778093907,1320170,0
5499,1778094563,389855,0
6516,1778097382,2054225,0
4246,1778098059,1660298,1552275
3474,1778098437,1913726,0
3390,1778100674,1992450,0
6606,1778101307,2144292,0
6921,1778102361,2034967,0
3159,1778104743,2179389,0
990,1778105399,2178771,0
5727,1778107402,1820940,0
8641,1778107887,1041417,2180183
7080,1778109973,1549959,0
3906,1778114475,2179820,0
6411,1778114951,2179523,902994
6048,1778118601,2179347,0
7132,1778122098,1695345,2179951
4996,1778122586,1611699,2128339
156,1778124265,2142037,0
3622,1778125254,2178766,0
5665,1778126472,1559833,2178909
7591,1778126758,264488,2177595
489,1778126898,2128900,0
603,1778126931,2179818,0
3747,1778127215,1790251,0
7603,1778127687,2123292,2180023
7551,1778129282,1718539,0
5373,1778129437,2122269,0
4899,1778130050,2179517,0
592,1778130248,373602,59770
60,1778131689,2134023,0
3904,1778132855,2030750,0
7258,1778133194,1921746,2179757
8640,1778135348,2133112,0
4201,1778135819,2130313,1455506
4972,1778136969,2175666,0
6403,1778138362,2124735,2179728
6942,1778140404,2179056,0
5391,1778141083,2180190,0
8517,1778141875,2135873,0
7518,1778143178,2072047,0
3984,1778143523,2143932,0
6024,1778144036,1959710,0
5370,1778144676,1992450,0
2460,1778145232,2178771,0
2727,1778147089,1896176,0
3760,1778149042,837378,2176774
547,1778149083,2180005,1968000
7545,1778149769,2179802,0
6253,1778149950,1995173,2179322
8350,1778150714,967045,2009697
6534,1778152010,1851914,0
5859,1778152166,1820940,0
4018,1778152946,1636428,717387
6987,1778154058,2123292,0
8332,1778154149,267903,2180117
6631,1778154928,2180189,2179733
6090,1778157958,1265225,0
8710,1778160207,1774259,2180203
955,1778160249,2083232,694879
7000,1778160694,1420391,1348773
4881,1778160780,2179811,0
4072,1778161356,1178523,864881
5212,1778161712,1936831,2144665
477,1778162070,327309,0
8604,1778162784,2179438,0
852,1778163311,2179814,0
4714,1778165162,940005,2075590
4336,1778166806,2010115,1628845
4308,1778166874,1586763,0
3271,1778167609,2179928,2179903
7209,1778167763,1986521,0
7686,1778167825,1560,0
601,1778168700,828973,739654
888,1778169420,2179730,0
7405,1778170579,1229744,2131271
4966,1778171229,2136214,0
7279,1778171802,2176612,1262356
864,1778172051,1611699,0
6335,1778172805,1722419,2179394
7444,1778174009,2083451,2176425
1251,1778175479,2179558,0
3360,1778175561,2126990,0
1513,1778175614,2180005,2131441
1711,1778180912,54,2115659
7374,1778180937,2179564,0
6220,1778181156,2054225,2040738
7672,1778181426,301920,2178863
7299,1778182366,1249591,0
6804,1778183151,2179928,0
7272,1778184464,862424,0
6888,1778184513,1653036,0
3555,1778185745,80863,0
3045,1778186094,141431,0
2712,1778186456,2179858,0
2289,1778187343,2179819,0
7035,1778187948,2002702,0
